Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Kareem Abdul-Jabbar*,C,38,LAL,79,79,33.3,9.6,16.9,0.564,0,0,0,9.6,16.9,0.565,0.564,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,1985-86
2,Alvan Adams,C,31,PHO,78,45,25.7,4.4,8.7,0.502,0,0,0,4.4,8.7,0.504,0.502,2,2.6,0.783,1.9,4.2,6.1,4.2,1.3,0.6,2.6,3.5,10.8,1985-86
3,Michael Adams,PG,23,SAC,18,0,7.7,0.9,2.4,0.364,0,0.2,0,0.9,2.3,0.39,0.364,0.4,0.7,0.667,0.1,0.2,0.3,1.2,0.5,0.1,0.6,0.5,2.2,1985-86
4,Mark Aguirre,SF,26,DAL,74,73,33.8,9,17.9,0.503,0.2,0.8,0.286,8.8,17.2,0.513,0.509,4.3,6.1,0.705,2.4,3.6,6,4.6,0.8,0.2,3.4,3.1,22.6,1985-86
5,Danny Ainge,SG,26,BOS,80,78,30.1,4.4,8.8,0.504,0.3,0.9,0.356,4.1,7.9,0.521,0.522,1.5,1.7,0.904,0.6,2.4,2.9,5.1,1.2,0.1,1.6,2.6,10.7,1985-86
6,Ron Anderson,SF,27,TOT,77,30,21.8,4,8.2,0.494,0,0.1,0.222,4,8,0.498,0.495,1.1,1.6,0.669,1.7,1.9,3.6,1.9,0.7,0.1,1.1,1.6,9.2,1985-86
6,Ron Anderson,SF,27,CLE,17,3,12.2,2.2,4.4,0.5,0,0.1,0,2.2,4.3,0.507,0.5,0.7,0.9,0.75,0.3,1.2,1.5,0.5,0.1,0,0.4,1.2,5.1,1985-86
6,Ron Anderson,SF,27,IND,60,27,24.5,4.6,9.2,0.493,0,0.1,0.25,4.5,9.1,0.496,0.495,1.2,1.9,0.658,2.1,2.1,4.1,2.3,0.9,0.1,1.3,1.8,10.4,1985-86
7,John Bagley,PG,25,CLE,78,77,31.7,4.7,11.1,0.423,0.1,0.5,0.243,4.6,10.6,0.431,0.428,2.2,2.8,0.791,1,2.6,3.5,9.4,1.6,0.1,3.1,2.1,11.7,1985-86
8,James Bailey,PF,28,NYK,48,36,25.9,4.2,9.2,0.456,0,0.1,0,4.2,9.1,0.46,0.456,2.7,3.5,0.772,2.1,4.8,7,1,0.7,0.8,2.1,4.3,11.1,1985-86
9,Thurl Bailey,PF,24,UTA,82,13,28.8,5.9,13.1,0.448,0,0.1,0,5.9,13,0.451,0.448,2.8,3.4,0.83,1.8,4.2,6,1.9,0.5,1.4,1.8,2,14.6,1985-86
10,Greg Ballard,SF,31,GSW,75,14,23.9,3.6,7.6,0.477,0.2,0.5,0.486,3.4,7.1,0.477,0.492,1.3,1.7,0.802,1.8,3.8,5.6,1.1,0.9,0.1,0.7,2.3,8.8,1985-86
11,Gene Banks,SF,26,CHI,82,33,26.1,4.3,8.4,0.517,0,0.2,0,4.3,8.2,0.532,0.517,2.2,3.1,0.718,2.2,2.2,4.4,3.1,1,0.1,1.7,2.6,10.9,1985-86
12,Ken Bannister,PF,25,NYK,70,15,20.1,3.4,6.8,0.491,0,0,0,3.4,6.8,0.492,0.491,1.9,3.6,0.526,1.3,3.3,4.6,0.6,0.6,0.3,1.8,3,8.6,1985-86
13,Charles Barkley*,PF,22,PHI,80,80,36.9,7.4,13,0.572,0.2,0.9,0.227,7.2,12.1,0.598,0.58,5,7.2,0.685,4.4,8.4,12.8,3.9,2.2,1.6,4.4,4.2,20,1985-86
14,John Battle,SG,23,ATL,64,0,10,1.6,3.5,0.455,0,0.1,0,1.6,3.4,0.47,0.455,1.2,1.6,0.728,0.2,0.8,1,1.2,0.4,0,0.7,1.3,4.3,1985-86
15,Benoit Benjamin,C,21,LAC,79,37,26.4,4.1,8.4,0.49,0,0,0.333,4.1,8.3,0.491,0.491,2.9,3.9,0.746,2,5.6,7.6,1,0.8,2.6,1.8,3.6,11.1,1985-86
16,Kent Benson,C,31,DET,72,51,18.7,2.8,5.8,0.484,0,0,0.5,2.8,5.7,0.484,0.486,0.9,1.2,0.795,1.6,3.6,5.2,1.1,0.8,0.7,0.8,2.7,6.5,1985-86
17,Larry Bird*,SF,29,BOS,82,81,38,9.7,19.6,0.496,1,2.4,0.423,8.7,17.2,0.506,0.521,5.4,6,0.896,2.3,7.5,9.8,6.8,2,0.6,3.2,2.2,25.8,1985-86
18,Otis Birdsong,SG,30,NJN,77,74,31.1,7,13.7,0.513,0.1,0.3,0.364,6.9,13.4,0.516,0.517,1.6,2.7,0.581,1.1,1.5,2.6,3.4,1.1,0.2,2.3,3,15.8,1985-86
19,Uwe Blab,C,23,DAL,48,0,8.5,0.9,2,0.468,0,0,,0.9,2,0.468,0.468,0.8,1.4,0.537,0.5,1.4,1.9,0.4,0.1,0.3,0.6,1.4,2.6,1985-86
20,Rolando Blackman,SG,26,DAL,82,81,34,8.3,16.1,0.514,0,0.4,0.138,8.2,15.7,0.522,0.515,4.9,5.9,0.836,1.1,2.5,3.5,3.3,1,0.3,2.3,1.7,21.5,1985-86
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1985-86
21,Manute Bol,C,23,WSB,80,60,26.1,1.6,3.5,0.46,0,0,0,1.6,3.5,0.462,0.46,0.5,1.1,0.488,1.5,4.4,6,0.3,0.4,5,0.8,3.2,3.7,1985-86
22,Sam Bowie,C,24,POR,38,34,29.8,4.4,9.1,0.484,0,0,,4.4,9.1,0.484,0.484,3,4.2,0.708,2.4,6.2,8.6,2.6,0.6,2.5,2.3,3.7,11.8,1985-86
23,Dudley Bradley,SG,28,WSB,70,7,12,1,3,0.349,0.2,1,0.25,0.8,2,0.397,0.39,0.5,0.8,0.571,0.3,1,1.4,1.5,1.2,0,0.6,1.4,2.8,1985-86
24,Mike Bratz,PG,30,SAC,33,0,8.2,0.8,2.1,0.371,0.1,0.4,0.286,0.7,1.7,0.393,0.4,0.4,0.5,0.778,0.1,0.6,0.7,1.2,0.4,0,0.5,1.3,2.1,1985-86
